b-paint-macro-02	3:2	Extreme macro of a deep oxblood red hand-finished car panel under raking low sunlight, metallic flake igniting in the light, mirror-flat lacquer with no orange peel, dark bokeh background, no car visible, no text, no badge, medium format, tack sharp
b-paint-reflection-03	21:9	Long wing of a dark navy classic sports car photographed so a straight horizon line reflects perfectly unbroken across the entire panel, proving the panel is flawlessly straight, near-black studio, single soft strip light, no text, no badge, no people, medium format
b-paint-shutline-04	3:2	Macro detail of a perfect panel gap and shut line between door and wing on a gloss black classic car, chrome trim catching one highlight, near-black background, forensic sharpness, no text, no logo
a-catalogue-profile-05	3:2	Full side profile of a restored 1960s British sports car on a seamless warm paper-white studio sweep, even soft top light, auction catalogue photography, entire car in frame with generous margin, no people, no text, no logo, colour is deep british racing green, shot on medium format
a-catalogue-three-quarter-06	3:2	Front three-quarter view of a restored 1960s British sports coupe on a seamless warm paper-white studio sweep, soft even lighting, auction catalogue style, no people, no text, no logo, deep maroon paint, medium format
a-catalogue-detail-07	1:1	Macro of a polished chrome badge sitting under deep clear lacquer on a dark green car wing, shallow depth of field, catalogue detail photography, no readable text, no brand name, studio lighting
d-daylight-road-08	21:9	A fully restored 1960s British sports car parked on an empty narrow country lane at low winter sun, English downland and bare hedgerows behind, long shadows, cold clean light, no people, no text, whole car in frame, cinematic, shot on medium format film
d-daylight-barn-09	3:2	A restored classic British sports car parked on gravel outside an old flint and brick barn, soft overcast even daylight, muted green English countryside, no people, no text, understated wealth, medium format
d-daylight-rear-10	3:2	Rear three-quarter of a restored classic British roadster on a gravel drive at golden hour, long shadow across the gravel, chrome bumper catching warm light, no people, no text, English country estate setting
c-hands-flatting-11	3:2	Close photograph of two hands in blue nitrile gloves wet-flatting a primered car panel with a rubbing block, water running over the surface, raking side light, no face visible, no text, workshop darkness behind, documentary craft photography
c-hands-colour-12	3:2	Close photograph of a craftsman hands holding a fan of paint colour chips against a bare metal car body panel, comparing shades, raking light, no face visible, no text, dark workshop background, documentary craft photography
c-tool-gun-13	4:3	Still life portrait of a well used professional paint spray gun resting on a dark worn workbench, single soft light from the left, deep shadow, no text, no logo, museum object photography, shallow depth of field
c-hands-polish-14	3:2	Close photograph of hands in gloves machine polishing a deep black car panel, foam pad, reflection of the workshop lights curving across the wet looking surface, no face visible, no text, documentary craft photography
b-paint-flake-15	16:9	Macro of automotive metallic silver blue paint in direct low sun, individual metallic flakes visible sparkling within the clearcoat, extremely shallow depth of field, abstract, no car visible, no text
